age(ka),d18OcarbVPDB
18.454,-11.71
18.46,-11.67
18.466,-11.77
18.471,-11.63
18.482,-11.59
18.488,-11.37
18.493,-11.56
18.504,-11.5
18.51,-11.59
18.515,-11.41
18.521,-11.74
18.526,-11.98
18.532,-11.93
18.537,-11.98
18.543,-11.96
18.548,-11.91
18.553,-11.94
18.559,-11.94
18.565,-11.84
18.57,-11.92
18.581,-12.08
18.587,-12.04
18.592,-11.94
18.598,-11.96
18.603,-11.98
18.608,-11.93
18.614,-12.03
18.62,-12.02
18.625,-12.0
18.631,-11.92
18.636,-12.07
18.64,-12.06
18.644,-12.03
18.649,-12.01
18.653,-12.02
18.657,-12.06
18.661,-12.14
18.665,-12.26
18.669,-12.04
18.674,-12.01
18.678,-11.96
18.682,-12.0
18.686,-12.03
18.69,-11.95
18.694,-11.98
18.699,-11.99
18.703,-11.99
18.707,-11.87
18.711,-11.76
18.715,-11.69
18.72,-11.82
18.724,-11.83
18.728,-11.92
18.732,-11.87
18.736,-12.08
18.74,-12.15
18.745,-12.03
18.749,-12.01
18.753,-12.01
18.757,-12.0
18.761,-12.06
18.765,-12.1
18.77,-12.06
18.774,-12.06
18.778,-11.99
18.782,-11.94
18.786,-11.78
18.79,-11.8
18.795,-11.8
18.799,-11.87
18.803,-11.89
18.807,-11.9
18.811,-11.93
18.816,-11.93
18.82,-11.96
18.824,-12.01
18.828,-11.9
18.832,-11.99
18.836,-11.76
18.841,-11.9
18.845,-12.08
18.849,-12.0
18.853,-12.05
18.857,-12.09
18.861,-12.1
18.866,-12.17
18.87,-12.2
18.874,-12.12
18.878,-12.04
18.882,-11.99
18.887,-12.07
18.891,-12.08
18.895,-12.0
18.899,-11.97
18.903,-11.92
18.907,-11.85
18.912,-11.67
18.916,-11.64
18.92,-11.73
18.924,-11.77
18.928,-11.87
18.932,-11.84
18.937,-11.89
18.941,-11.81
18.945,-11.7
18.949,-11.73
18.953,-11.64
18.957,-11.7
18.962,-11.7
18.966,-11.93
18.97,-11.79
18.974,-11.72
18.978,-11.69
18.983,-11.69
18.987,-11.77
18.991,-11.8
18.995,-11.88
18.999,-11.84
19.003,-11.72
19.008,-11.99
19.012,-12.03
19.02,-11.8
19.024,-11.95
19.028,-11.88
19.033,-11.78
19.037,-11.82
19.041,-11.69
19.046,-11.81
19.052,-11.74
19.057,-11.86
19.063,-11.84
19.068,-11.81
19.074,-11.78
19.079,-12.01
19.106,-12.0
19.112,-12.13
19.117,-11.92
19.128,-12.11
19.134,-12.18
19.139,-12.36
19.144,-12.38
19.15,-12.34
19.155,-12.31
19.161,-12.31
19.166,-12.25
19.172,-12.29
19.177,-12.13
19.183,-12.19
19.188,-12.18
19.193,-12.13
19.199,-12.22
19.204,-12.36
19.21,-12.52
19.215,-12.54
19.221,-12.58
19.226,-12.51
19.232,-12.34
19.237,-12.37
19.242,-12.3
19.246,-12.17
19.251,-12.29
19.255,-12.31
19.26,-12.34
19.264,-12.19
19.269,-12.13
19.273,-12.02
19.278,-12.08
19.282,-12.44
19.287,-12.42
19.291,-12.38
19.296,-12.29
19.3,-12.25
19.305,-12.37
19.31,-12.41
19.314,-12.4
19.319,-12.26
19.323,-12.39
19.328,-12.46
19.332,-12.33
19.337,-12.27
19.341,-12.25
19.346,-12.34
19.35,-12.4
19.355,-12.35
19.359,-12.29
19.364,-12.27
19.368,-12.16
19.373,-12.03
19.378,-11.87
19.382,-11.96
19.387,-12.19
19.391,-12.26
19.396,-12.32
19.4,-12.2
19.405,-12.2
19.409,-12.06
19.414,-12.24
19.418,-12.31
19.423,-12.33
19.427,-12.44
19.432,-12.31
19.436,-12.28
19.441,-12.38
19.445,-12.37
19.45,-12.42
19.455,-12.11
19.459,-12.31
19.464,-12.28
19.468,-12.14
19.473,-12.19
19.477,-12.08
19.482,-12.14
19.486,-12.17
19.491,-12.25
19.495,-12.12
19.5,-12.05
19.504,-11.93
19.509,-11.9
19.513,-11.88
19.518,-11.73
19.523,-11.84
19.527,-11.84
19.532,-11.84
19.536,-11.97
19.541,-12.05
19.545,-11.98
19.55,-12.0
19.554,-12.03
19.559,-12.11
19.563,-12.2
19.568,-12.07
19.572,-12.19
19.577,-12.25
19.581,-12.26
19.586,-12.2
19.589,-12.1
19.592,-12.12
19.595,-12.18
19.598,-12.05
19.602,-12.07
19.605,-12.13
19.608,-12.3
19.611,-12.27
19.614,-12.33
19.617,-12.24
19.62,-12.09
19.623,-12.12
19.626,-12.17
19.629,-12.33
19.632,-12.27
19.636,-12.21
19.639,-12.19
19.642,-12.26
19.645,-12.18
19.648,-12.05
19.651,-12.01
19.654,-12.01
19.657,-11.97
19.66,-12.07
19.663,-12.16
19.667,-12.29
19.67,-12.26
19.673,-12.28
19.676,-12.31
19.679,-12.32
19.682,-12.34
19.685,-12.41
19.688,-12.36
19.691,-12.3
19.694,-12.21
19.701,-12.26
19.704,-12.26
19.707,-12.33
19.71,-12.32
19.713,-12.31
19.716,-12.3
19.719,-12.28
19.722,-12.3
19.726,-12.04
19.729,-12.17
19.732,-12.13
19.735,-12.12
19.738,-12.03
