age(ce),Mg25,Sr88
1903.87,6977.05,138.697
1903.79,6966.89,253.982
1903.71,6664.66,165.305
1903.62,9379.95,147.386
1903.55,7085.86,147.986
1903.46,7851.66,123.078
1903.39,6099.5,120.6
1903.3,6096.81,139.253
1903.22,5811.07,138.5
1903.14,6021.49,169.194
1903.06,6357.9,138.327
1902.98,6062.07,139.887
1902.9,6212.06,171.716
1902.82,7117.7,151.632
1902.74,7726.12,158.183
1902.65,5855.41,144.976
1902.58,6581.46,156.539
1902.49,5534.77,128.771
1902.41,6786.21,127.844
1902.33,6357.26,192.342
1902.25,6686.95,132.938
1902.17,6625.23,125.422
1902.09,5808.06,142.435
1902.01,6438.83,197.822
1901.93,6352.27,148.522
1901.84,7359.6,147.975
1901.77,7076.82,150.331
1901.68,5670.14,199.1
1901.61,6186.37,141.446
1901.52,6962.59,133.969
1901.44,7466.33,130.947
1901.36,6930.86,162.656
1901.28,6411.41,138.451
1901.2,6242.01,134.278
1901.11,6993.26,158.456
1901.04,6661.48,148.343
1900.95,7660.2,179.602
1900.87,6016.96,126.905
1900.79,6115.78,153.632
1900.71,6238.07,148.586
1900.63,7140.23,145.032
1900.55,7269.41,154.155
1900.47,7100.12,139.833
1900.39,7369.68,139.08
1900.3,6576.4,134.513
1900.23,7811.78,127.419
1900.14,6656.93,127.889
1900.06,6867.36,151.453
1899.98,6940.08,143.118
1899.9,7998.08,130.005
1899.82,7177.02,124.211
1899.74,7697.11,119.287
1899.66,7019.63,151.535
1899.58,7183.03,134.784
1899.5,8431.49,152.191
1899.42,8061.5,176.663
1899.33,7868.82,126.477
1899.26,7378.29,141.684
1899.17,7516.43,134.129
1899.09,7892.08,135.182
1899.01,7782.25,127.165
1898.93,7259.27,130.411
1898.85,6894.88,148.087
1898.77,6839.97,135.322
1898.69,6688,124.181
1898.61,7489.09,131.743
1898.52,7288.74,134.545
1898.45,7907.72,133.908
1898.36,6690.43,129.364
1898.28,7005.25,133.404
1898.2,7947.5,130.76
1898.12,9932.79,156.117
1898.04,7885.14,139.795
1897.96,8924.49,142.05
1897.88,8663.15,140.807
1897.8,9007.58,210.34
1897.71,7890.19,147.521
1897.64,8954.75,160.911
1897.55,8687.35,137.034
1897.48,8361.87,142.028
1897.39,8298.74,147.594
1897.31,7817.27,143.061
1897.23,8271.68,152.549
1897.15,7845.83,167.447
1897.07,6964.25,126.776
1896.98,8196.38,137.016
1896.88,8436.06,135.167
1896.79,7949.73,137.372
1896.7,9211.84,138.755
1896.6,8546.24,139.99
1896.51,9105.36,208.841
1896.41,10204.43,136.005
1896.32,9176.47,166.809
1896.22,8332.59,158.287
1896.13,8985.93,142.457
1896.03,10906.32,166.848
1895.94,10122.24,141.809
1895.84,8566.78,135.74
1895.75,8919.38,135.786
1895.65,8561.44,147.48
1895.56,9084.06,141.45
1895.46,8457.09,132.12
1895.37,8169.77,140.363
1895.27,7656.56,138.754
1895.18,8755.79,157.778
1895.08,7693.08,144.121
1894.99,7908.49,148.452
1894.89,7158.12,142.857
1894.8,7051.14,133.064
1894.7,5950.3,136.58
1894.61,7288.27,130.534
1894.51,7083.69,188.685
1894.42,8025.47,134.441
1894.32,6844.04,127.916
1894.23,7604.66,142.53
1894.13,6869.71,158.788
1894.04,7672.53,131.161
1893.94,7502.83,133.525
1893.85,7543.59,142.785
1893.75,8001.91,140.802
1893.66,8705.39,149.667
1893.56,8604.39,185.423
1893.47,8455.48,150.762
1893.37,8426.23,158.294
1893.28,9053.47,136.361
1893.18,7868.83,135.641
1893.09,8991.5,141.267
1892.99,8742.08,167.201
1892.9,10460.19,164.163
1892.8,9736.94,152.265
1892.71,10195.11,145.654
1892.61,9233.69,172.351
1892.52,8850.74,145.953
1892.42,8908.72,160.681
1892.33,8352.63,152.58
1892.23,8104.95,145.623
1892.14,8819.09,158.422
1892.04,7158.71,165.802
1891.95,7187.17,137.33
1891.86,6962.59,154.334
1891.76,6763.21,155.884
1891.67,6976.64,140.269
1891.57,7886.82,150.605
1891.48,7092.7,150.163
1891.38,6686.73,159.072
1891.29,8108.1,143.022
1891.19,7172.89,152.95
1891.1,7421.38,156.072
1891,7252.63,142.262
1890.91,7080.69,147.064
1890.81,6838.38,141.382
1890.72,7248.46,144.904
1890.62,6729.83,153.669
1890.53,6874.68,139.593
1890.44,6514.29,140.124
1890.34,6657.97,145.496
1890.25,6949.14,140.022
1890.15,7741.17,159.34
1890.06,8310.99,128.016
1889.96,7754.07,135.893
1889.87,9116.15,118.203
1889.77,7107.56,133.895
1889.68,8355.67,123.692
1889.58,8347,209.785
1889.49,8393.52,117.493
1889.39,7653.75,141.962
1889.3,8589.29,146.707
1889.2,9355.03,217.424
1889.11,7853.5,144.902
1889.01,8845.29,139.499
1888.92,9510.56,136.017
1888.82,8745.92,148.223
1888.73,8262.24,119.734
1888.63,8113.72,132.128
1888.54,8177.14,139.899
1888.44,8851.51,149.922
1888.35,9359.91,138.083
1888.25,8323.08,540.997
1888.16,8909.01,144.971
1888.06,8520.81,139.57
1887.97,7991.79,363.965
1887.87,7951.33,148.998
1887.78,7880.16,158.179
1887.68,7953.92,142.947
1887.59,8338.42,372.246
1887.49,7527.46,143.386
1887.4,8025.7,152.803
1887.3,7344.42,171.536
1887.21,7101.03,144.627
1887.11,7554.17,140.629
1887.02,7896.04,198.788
1886.92,6764.31,133.989
1886.83,6861.91,153.109
1886.73,6576.01,178.472
1886.64,6424.21,149.625
1886.54,6566.11,160.293
1886.45,6487.22,158.348
1886.35,6936.88,157.979
1886.26,6698.01,136.904
1886.17,7388.95,183.317
1886.07,6213.56,171.216
1885.98,7071.18,147.741
1885.88,6703.05,156.115
1885.79,7115.03,158.803
1885.69,6112.89,150.586
1885.6,6561.13,166.274
1885.5,6393.95,171.825
1885.41,6833.23,205.293
1885.31,5915.56,176.356
1885.22,5721.75,139.029
1885.12,6243.61,176.053
1885.03,6413.98,174.7
1870.06,6313.23,226.479
