age,ODL(Optical Density of Luminescence)
26359.4,0.965936
26407.0,0.965246
26454.6,0.964556
26502.2,0.964089
26549.8,0.964548
26597.3,0.965008
26644.9,0.965468
26692.5,0.965928
26740.1,0.964837
26787.7,0.963458
26835.2,0.962079
26882.8,0.9607
26930.4,0.96
26978.0,0.96
27025.6,0.96
27073.1,0.96
27120.7,0.96
27168.3,0.96
27215.9,0.96
27263.5,0.96
27311.0,0.96
27358.6,0.959272
27406.2,0.958352
27453.8,0.957432
27501.4,0.956512
27548.9,0.95437
27596.5,0.950692
27644.1,0.947015
27691.7,0.943337
27739.3,0.939915
27786.8,0.938995
27834.4,0.938076
27882.0,0.937156
27929.6,0.936237
27977.2,0.935147
28024.7,0.933998
28072.3,0.932848
28119.9,0.931699
28167.5,0.93073
28215.1,0.93004
28262.6,0.92935
28310.2,0.928661
28357.8,0.928038
28405.4,0.928958
28453.0,0.929877
28500.5,0.930797
28548.1,0.931717
28595.7,0.933115
28643.3,0.934724
28690.9,0.936333
28738.4,0.937942
28786.0,0.940574
28833.6,0.945171
28881.2,0.949768
28928.8,0.954365
28976.3,0.958962
29023.9,0.962192
29071.5,0.96541
29119.1,0.968628
29166.7,0.971846
29214.2,0.974916
29261.8,0.977904
29309.4,0.980893
29357.0,0.983881
29404.6,0.986803
29452.1,0.989562
29499.7,0.992322
29547.3,0.995081
29594.9,0.997841
29642.5,0.999835
29690.0,1.00178
29737.6,1.00372
29785.2,1.00567
29832.8,1.00705
29880.4,1.00803
29927.9,1.00901
29975.5,1.00999
30023.1,1.01084
30070.7,1.01126
30118.3,1.01168
30165.8,1.0121
30213.4,1.01252
30261.0,1.01282
30308.6,1.0131
30356.2,1.01338
30403.7,1.01366
30451.3,1.01371
30498.9,1.01357
30546.5,1.01343
30594.1,1.01329
30641.6,1.01309
30689.2,1.01267
30736.8,1.01225
30784.4,1.01183
30832.0,1.01141
30879.5,1.01005
30927.1,1.0085
30974.7,1.00696
31022.3,1.00542
31069.9,1.00457
31117.4,1.00443
31165.0,1.00429
31212.6,1.00415
31260.2,1.00408
31307.8,1.00451
31355.3,1.00493
31402.9,1.00535
31450.5,1.00577
31498.1,1.00663
31545.7,1.00761
31593.2,1.0086
31640.8,1.00958
31688.4,1.01037
31736.0,1.01093
31783.6,1.0115
31831.1,1.01206
31878.7,1.01257
31926.3,1.01257
31973.9,1.01257
32021.5,1.01257
32069.0,1.01257
32116.6,1.01402
32164.2,1.01599
32211.8,1.01795
32259.4,1.01992
32306.9,1.02155
32354.5,1.02268
32402.1,1.0238
32449.7,1.02492
32497.3,1.02601
32544.8,1.02629
32592.4,1.02657
32640.0,1.02685
32687.6,1.02713
32735.2,1.02741
32782.8,1.02769
32830.3,1.02797
32877.9,1.02825
32925.5,1.02882
32973.1,1.02994
33020.7,1.03107
33068.2,1.03219
33115.8,1.03332
33163.4,1.03444
33211.0,1.03556
33258.5,1.03668
33306.1,1.0378
33353.7,1.03812
33401.3,1.03798
33448.9,1.03784
33496.4,1.0377
33544.0,1.0376
33591.6,1.0376
33639.2,1.0376
33686.7,1.0376
33734.3,1.0376
33781.9,1.03707
33829.5,1.03651
33877.1,1.03595
33924.6,1.03539
33972.2,1.03491
34019.8,1.03449
34067.4,1.03407
34114.9,1.03365
34162.5,1.03289
34210.1,1.03106
34257.7,1.02924
34305.3,1.02741
34352.8,1.02559
34400.4,1.02526
34448.0,1.02512
34495.6,1.02498
34543.2,1.02484
34590.7,1.02394
34638.3,1.0224
34685.9,1.02086
34733.5,1.01931
34781.0,1.01796
34828.6,1.01739
34876.2,1.01683
34923.8,1.01627
34971.4,1.01571
35018.9,1.01361
35066.5,1.01123
35114.1,1.00884
35161.7,1.00646
35209.2,1.00454
35256.8,1.0031
35304.4,1.00167
35352.0,1.00023
35399.6,0.998582
35447.1,0.995594
35494.7,0.992606
35542.3,0.989618
35589.9,0.98663
35637.4,0.982914
35685.0,0.979005
35732.6,0.975096
35780.2,0.971186
35827.8,0.966568
35875.3,0.961052
35922.9,0.955535
35970.5,0.950018
36018.1,0.944481
36065.7,0.938734
36113.2,0.932988
36160.8,0.927241
36208.4,0.921495
36256.0,0.915068
36303.5,0.908402
36351.1,0.901736
36398.7,0.89507
36446.3,0.888583
36493.9,0.882377
36541.4,0.876171
36589.0,0.869965
36636.6,0.863785
36684.2,0.858266
36731.7,0.852747
36779.3,0.847227
36826.9,0.841708
36874.5,0.837778
36922.1,0.83456
36969.6,0.831342
37017.2,0.828124
37064.8,0.825062
37112.4,0.822303
37159.9,0.819545
37207.5,0.816787
37255.1,0.814029
37302.7,0.812407
37350.3,0.810799
37397.8,0.809189
37445.4,0.807581
37493.0,0.807441
37540.6,0.80813
37588.2,0.80882
37635.7,0.809509
37683.3,0.810531
37730.9,0.812371
37778.5,0.81421
37826.0,0.81605
37873.6,0.81789
37921.2,0.820593
37968.8,0.823352
38016.4,0.82611
38063.9,0.828868
38111.5,0.832033
38159.1,0.835481
38206.7,0.838929
38254.2,0.842377
38301.8,0.845935
38349.4,0.849843
38397.0,0.85375
38444.6,0.857658
38492.1,0.861565
38539.7,0.868537
38587.3,0.875893
38634.9,0.883248
38682.4,0.890604
38730.0,0.897466
38777.6,0.903905
38825.2,0.910344
38872.8,0.916784
38920.3,0.923004
38967.9,0.928291
39015.5,0.933577
39063.1,0.938864
39110.7,0.944151
39158.2,0.950788
39205.8,0.957684
39253.4,0.96458
39301.0,0.971476
39348.5,0.978057
39396.1,0.984309
39443.7,0.990561
39491.3,0.996813
39538.9,1.00282
39586.4,1.00731
39634.0,1.0118
39681.6,1.01628
39729.2,1.02077
39776.7,1.02493
39824.3,1.029
39871.9,1.03307
39919.5,1.03714
39967.1,1.04109
40014.6,1.04488
40062.2,1.04867
40109.8,1.05246
40157.4,1.05609
40204.9,1.0582
40252.5,1.0603
40300.1,1.0624
40347.7,1.06451
40395.3,1.0662
40442.8,1.06774
40490.4,1.06929
40538.0,1.07083
40585.6,1.07156
40633.2,1.071
40680.7,1.07044
40728.3,1.06988
40775.9,1.06929
40823.5,1.06802
40871.0,1.06676
40918.6,1.06549
40966.2,1.06423
41013.8,1.06151
41061.4,1.05815
41108.9,1.05478
41156.5,1.05141
41204.1,1.04819
41251.7,1.04524
41299.2,1.0423
41346.8,1.03935
41394.4,1.03641
41442.0,1.03319
41489.6,1.02996
41537.1,1.02673
41584.7,1.0235
41632.3,1.01938
41679.9,1.01475
41727.4,1.01012
41775.0,1.00549
41822.6,1.00119
41870.2,0.997699
41917.8,0.994204
41965.3,0.990708
42012.9,0.987213
42060.5,0.983762
42108.1,0.980314
42155.6,0.976866
42203.2,0.973418
42250.8,0.970376
42298.4,0.967618
42346.0,0.96486
42393.5,0.962101
42441.1,0.958905
42488.7,0.954308
42536.3,0.949711
42583.8,0.945114
42631.4,0.940516
42679.0,0.936327
42726.6,0.93219
42774.2,0.928052
42821.7,0.923915
42869.3,0.919653
42916.9,0.915283
42964.5,0.910914
43012.1,0.906544
43059.6,0.902219
43107.2,0.898081
43154.8,0.893944
43202.4,0.889806
43249.9,0.885669
43297.5,0.883265
43345.1,0.881197
43392.7,0.879128
43440.3,0.877059
43487.8,0.874991
43535.4,0.872922
43583.0,0.870853
43630.6,0.868784
43678.1,0.867063
43725.7,0.867523
43773.3,0.867982
43820.9,0.868442
43868.5,0.868902
43916.0,0.869724
43963.6,0.870643
44011.2,0.871563
44058.8,0.872483
44106.4,0.873604
44153.9,0.874984
44201.5,0.876363
44249.1,0.877742
44296.7,0.879263
44344.2,0.882251
44391.8,0.885239
44439.4,0.888227
44487.0,0.891215
