age_calBP,Rainfall Index
585,-0.4658
586,-0.4659
587,-0.466
588,-0.4662
589,-0.4495
590,-0.4328
591,-0.4161
592,-0.3995
593,-0.3996
594,-0.3997
595,-0.3998
596,-0.4
597,-0.4001
598,-0.3853
599,-0.3705
600,-0.3557
601,-0.3289
602,-0.3021
603,-0.2754
604,-0.2486
605,-0.2219
606,-0.2668
607,-0.3285
608,-0.3903
609,-0.452
610,-0.5138
611,-0.4915
612,-0.4692
613,-0.4469
614,-0.4605
615,-0.4741
616,-0.4876
617,-0.5012
618,-0.5148
619,-0.4981
620,-0.4814
621,-0.4647
622,-0.4481
623,-0.4571
624,-0.4662
625,-0.4753
626,-0.4844
627,-0.4935
628,-0.4768
629,-0.4601
630,-0.4435
631,-0.4268
632,-0.4157
633,-0.4046
634,-0.3935
635,-0.3825
636,-0.3736
637,-0.3648
638,-0.3559
639,-0.3471
640,-0.3383
641,-0.3234
642,-0.3086
643,-0.2938
644,-0.2805
645,-0.2672
646,-0.2539
647,-0.2405
648,-0.2272
649,-0.19
650,-0.1528
651,-0.1156
652,-0.0783
653,-0.0411
654,-0.0039
655,0.0333
656,0.0706
657,0.1078
658,0.117
659,0.1262
660,0.1354
661,0.1446
662,0.1538
663,0.1631
664,0.1723
665,0.1815
666,0.1907
667,0.1999
668,0.2091
669,0.2183
670,0.1376
671,0.0568
672,-0.024
673,-0.1048
674,-0.1856
675,-0.1913
676,-0.197
677,-0.2027
678,-0.2085
679,-0.2254
680,-0.2423
681,-0.2592
682,-0.2986
683,-0.3099
684,-0.3212
685,-0.3325
686,-0.3438
687,-0.3619
688,-0.3799
689,-0.398
690,-0.416
691,-0.4341
692,-0.479
693,-0.5239
694,-0.5689
695,-0.6138
696,-0.6139
697,-0.614
698,-0.5917
699,-0.3827
700,-0.1737
701,0.0353
702,-0.1516
703,-0.3384
704,-0.5252
705,-0.5254
706,-0.5255
707,-0.5256
708,-0.5089
709,-0.4922
710,-0.4755
711,-0.4588
712,-0.459
713,-0.4591
714,-0.4592
715,-0.5097
716,-0.5603
717,-0.6108
718,-0.6613
719,-0.6278
720,-0.5943
721,-0.5552
722,-0.5161
723,-0.477
724,-0.438
725,-0.4885
726,-0.539
727,-0.5895
728,-0.6401
729,-0.5618
730,-0.4835
731,-0.4164
732,-0.4688
733,-0.5212
734,-0.5736
735,-0.5865
736,-0.5994
737,-0.6123
738,-0.6252
739,-0.6381
740,-0.6511
741,-0.664
742,-0.6282
743,-0.5925
744,-0.5568
745,-0.521
746,-0.4853
747,-0.4496
748,-0.4138
749,-0.3781
750,-0.3424
751,-0.3066
752,-0.2945
753,-0.2824
754,-0.2703
755,-0.2582
756,-0.2461
757,-0.234
758,-0.2219
759,-0.2098
760,-0.1977
761,-0.1856
762,-0.1734
763,-0.1797
764,-0.1859
765,-0.1921
766,-0.1983
767,-0.2046
768,-0.2108
769,-0.217
770,-0.2232
771,-0.2295
772,-0.2357
773,-0.2419
774,-0.2924
775,-0.343
776,-0.3935
777,-0.444
778,-0.4217
779,-0.3994
780,-0.3771
781,-0.3548
782,-0.383
783,-0.4111
784,-0.4392
785,-0.4673
786,-0.4506
787,-0.4339
788,-0.4172
789,-0.4005
790,-0.4343
791,-0.468
792,-0.5017
793,-0.5354
794,-0.5691
795,-0.6028
796,-0.6366
797,-0.6703
798,-0.5976
799,-0.5249
800,-0.4522
801,-0.3794
802,-0.3179
803,-0.2564
804,-0.1949
805,-0.1334
806,-0.1447
807,-0.156
808,-0.1674
809,-0.1787
810,-0.1116
811,-0.0445
812,0.0227
813,-0.0139
814,-0.0504
815,-0.0869
816,-0.1234
817,-0.1599
818,-0.1965
819,-0.233
820,-0.2695
821,-0.2528
822,-0.2361
823,-0.2194
824,-0.2027
825,-0.1972
826,-0.1917
827,-0.1862
828,-0.1807
829,-0.1864
830,-0.1922
831,-0.1979
832,-0.2036
833,-0.1365
834,-0.0694
835,-0.0022
836,0.0649
837,0.0255
838,-0.0138
839,-0.0531
840,-0.0924
841,-0.0813
842,-0.0702
843,-0.0591
844,-0.048
845,-0.0313
846,-0.0146
847,0.0021
848,0.0188
849,0.0007
850,-0.0173
851,-0.0353
852,-0.0533
853,-0.0714
854,-0.0192
855,0.033
856,0.0851
857,0.1373
858,0.1895
859,0.2417
860,0.1968
861,0.1518
862,0.1517
863,0.1404
864,0.1291
865,0.1156
866,0.102
867,0.0885
868,0.0749
869,0.0838
870,0.0837
871,0.0836
872,0.0275
873,-0.0287
874,-0.0848
875,-0.1409
876,-0.0962
877,-0.0515
878,0.0156
879,0.0827
880,0.1499
881,0.2282
882,0.3065
883,0.3288
884,0.3511
885,0.3734
886,0.3957
887,0.418
888,0.4403
889,0.4626
890,0.4513
891,0.44
892,0.3615
893,0.2829
894,0.2268
895,0.1707
896,0.1482
897,0.1481
898,0.148
899,0.1479
900,0.1478
901,0.0581
